,y,x,street_count,address,name,id,highway
0,41.2928462,-72.9591226,3,"1201 Campbell Ave, West Haven, CT 06516, USA",1201 Campbell Ave,178537304,
1,41.2891258,-72.9662239,4,"46 Rockview St, West Haven, CT 06516, USA",46 Rockview St,178548921,
2,41.2886655,-72.9641281,4,"137 Ruden St, West Haven, CT 06516, USA",137 Ruden St,178552492,
3,41.2918038,-72.9637664,3,"459 Boston Post Rd, West Haven, CT 06516, USA",459 Boston Post Rd,178568269,
4,41.2892753,-72.9589451,3,"Campbell Ave @ Opp First Ave, West Haven, CT 06516, USA",Campbell Ave @ Opp First Ave,178576160,traffic_signals
5,41.2898492,-72.9589663,4,"Campbell Ave @ Ruden St, West Haven, CT 06516, USA",Campbell Ave @ Ruden St,178586755,traffic_signals
6,41.2897513,-72.9609414,4,"46 Ruden St, West Haven, CT 06516, USA",46 Ruden St,178586759,
7,41.28833,-72.9638266,3,"144 Ruden St, West Haven, CT 06516, USA",144 Ruden St,178586765,
8,41.2908259,-72.9590231,3,"1147 CT-122, West Haven, CT 06516, USA",1147 CT-122,178592923,
9,41.2930001,-72.9625024,3,"35 Pruden St, West Haven, CT 06516, USA",35 Pruden St,178609515,
10,41.2896271,-72.9634205,4,"28 Ruden Pl, West Haven, CT 06516, USA",28 Ruden Pl,178610765,
11,41.2905894,-72.9664078,3,"5 Sharon St, West Haven, CT 06516, USA",5 Sharon St,178624550,
12,41.289628,-72.9666689,3,"44 Daytona St, West Haven, CT 06516, USA",44 Daytona St,178642791,
13,41.2940557,-72.9595033,3,"275 Boston Post Rd, West Haven, CT 06516, USA",275 Boston Post Rd,178655999,
14,41.2922254,-72.9620829,5,"Orange Ave @ Pruden St, West Haven, CT 06516, USA",Orange Ave @ Pruden St,178656002,
15,41.2904014,-72.9669881,3,"Orange Ave & Rockview St, West Haven, CT 06516, USA",Orange Ave & Rockview St,178656003,
16,41.2912002,-72.9653594,3,"Orange Ave @ Hoffman St, West Haven, CT 06516, USA",Orange Ave @ Hoffman St,581431959,
17,41.2921151,-72.9602239,5,"Gate House, 300 Boston Post Rd, West Haven, CT 06516, USA",Gate House,1197271718,
18,41.2922876,-72.9619132,3,"Orange Ave @ Pruden St, West Haven, CT 06516, USA",Orange Ave @ Pruden St,1197271733,
19,41.2917979,-72.961891,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1197271748,
20,41.2885226,-72.9603239,4,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1797727779,
21,41.2889108,-72.9595691,3,"1082 Campbell Ave, West Haven, CT 06516, USA",1082 Campbell Ave,1797727787,
22,41.2883443,-72.9587313,3,"1079 Campbell Ave, West Haven, CT 06516, USA",1079 Campbell Ave,1797727955,
23,41.2883258,-72.9594312,3,"Harugari Hall, 1082 Campbell Ave, West Haven, CT 06516, USA",Harugari Hall,1797727963,
24,41.288544,-72.9593916,3,"Harugari Hall, 1082 Campbell Ave, West Haven, CT 06516, USA",Harugari Hall,1797730555,
25,41.2886367,-72.9588245,3,"1080 Campbell Ave, West Haven, CT 06516, USA",1080 Campbell Ave,1797730556,
26,41.2896864,-72.9608984,3,"46 Ruden St, West Haven, CT 06516, USA",46 Ruden St,1797730707,
27,41.2918044,-72.961653,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1797731421,
28,41.2919741,-72.9612226,3,"John and Leona Gehring Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",John and Leona Gehring Hall,1797731663,
29,41.2922061,-72.9614472,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1797732242,
30,41.2911962,-72.9618972,3,"Maxcy Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Maxcy Hall,1797732309,
31,41.2911757,-72.9624266,4,"Botwinik Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Botwinik Hall,1797732315,
32,41.2930124,-72.9601569,3,"339 US-1, West Haven, CT 06516, USA",339 US-1,1797743835,
33,41.2932265,-72.9626198,3,"35 Pruden St, West Haven, CT 06516, USA",35 Pruden St,1797745358,
34,41.2917125,-72.9648379,3,"1055 Old Orange Ave, West Haven, CT 06516, USA",1055 Old Orange Ave,1797745504,
35,41.2921348,-72.9590711,3,"Campbell Ave & Orange Ave, West Haven, CT 06516, USA",Campbell Ave & Orange Ave,1798792618,
36,41.288811,-72.9588801,3,"Campbell Ave @ First Ave, West Haven, CT 06516, USA",Campbell Ave @ First Ave,1800081266,
37,41.29246,-72.9606135,3,"Gate House, 300 Boston Post Rd, West Haven, CT 06516, USA",Gate House,1870493036,
38,41.2921267,-72.960596,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1870493041,
39,41.2924537,-72.9602548,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1870493045,
40,41.2891587,-72.9621518,3,"92 Ruden St, West Haven, CT 06516, USA",92 Ruden St,1870569530,
41,41.2896718,-72.9634536,3,"28 Ruden Pl, West Haven, CT 06516, USA",28 Ruden Pl,1870569532,
42,41.2899401,-72.9628775,4,"33 Ruden Pl, West Haven, CT 06516, USA",33 Ruden Pl,1870569535,crossing
43,41.2919328,-72.9619004,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,1875063211,
44,41.2918583,-72.9624318,3,"Bayer Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bayer Hall,1875063213,
45,41.2924044,-72.9599694,1,"Dodds Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Dodds Hall,1902860919,
46,41.291991,-72.9599603,3,"Dodds Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Dodds Hall,1902860933,
47,41.2899817,-72.9610343,4,"Ruden Street Apartments Unit 21, 21 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 21,1902860937,
48,41.2902194,-72.960518,3,"Ruden Street Apartments Unit 19, 19 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 19,1902860938,
49,41.2905484,-72.9608901,3,"Buckman Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Buckman Hall,1902860942,
50,41.2900783,-72.9609022,3,"Ruden Street Apartments Unit 21, 21 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 21,1902860945,
