,osmid,ref,name,highway,oneway,reversed,length,weight,start,end,geometry,service,lanes,maxspeed
506,727865718,,,service,FALSE,TRUE,172.1,105.1114769,6820965786,6820965803,"LINESTRING (-72.966578 41.2895931, -72.9664031 41.289667, -72.9657455 41.2899344, -72.9656158 41.2899737, -72.9655684 41.2899809, -72.9655209 41.2899794, -72.9654675 41.2899693, -72.9654256 41.289952, -72.9653773 41.2899143, -72.9653429 41.2898696, -72.9652209 41.2896723, -72.9652043 41.289621, -72.9652131 41.2895722, -72.9652401 41.2895249, -72.9652662 41.2894917, -72.9652905 41.2894744, -72.9653373 41.2894515)",,,
507,727865716,,,service,FALSE,FALSE,18.025,18.01541355,6820965801,2648033503,,parking_aisle,,
508,727865717,,,service,FALSE,FALSE,29.084,29.0679743,6820965801,6820965802,,parking_aisle,,
509,727865716,,,service,FALSE,TRUE,105.079,,6820965801,6820965802,"LINESTRING (-72.9656417 41.2895196, -72.9660521 41.2893735, -72.9662034 41.2895981, -72.9657858 41.2897577)",parking_aisle,,
510,727865717,,,service,FALSE,TRUE,29.084,29.0679743,6820965802,6820965801,,parking_aisle,,
511,727865716,,,service,FALSE,FALSE,105.079,,6820965802,6820965801,"LINESTRING (-72.9657858 41.2897577, -72.9662034 41.2895981, -72.9660521 41.2893735, -72.9656417 41.2895196)",parking_aisle,,
512,727865716,,,service,FALSE,TRUE,66.648,50.67410597,6820965802,6820965803,"LINESTRING (-72.9657858 41.2897577, -72.9655813 41.2898367, -72.9653373 41.2894515)",parking_aisle,,
513,168521463,,,service,FALSE,TRUE,19.695,19.73073822,6820965803,2648033503,"LINESTRING (-72.9653373 41.2894515, -72.9654327 41.2894158, -72.9655488 41.2893733)",,,
514,727865716,,,service,FALSE,FALSE,66.648,50.67410597,6820965803,6820965802,"LINESTRING (-72.9653373 41.2894515, -72.9655813 41.2898367, -72.9657858 41.2897577)",parking_aisle,,
515,727865718,,,service,FALSE,FALSE,172.1,105.1114769,6820965803,6820965786,"LINESTRING (-72.9653373 41.2894515, -72.9652905 41.2894744, -72.9652662 41.2894917, -72.9652401 41.2895249, -72.9652131 41.2895722, -72.9652043 41.289621, -72.9652209 41.2896723, -72.9653429 41.2898696, -72.9653773 41.2899143, -72.9654256 41.289952, -72.9654675 41.2899693, -72.9655209 41.2899794, -72.9655684 41.2899809, -72.9656158 41.2899737, -72.9657455 41.2899344, -72.9664031 41.289667, -72.966578 41.2895931)",,,
516,728207339,,,footway,FALSE,TRUE,5.606,5.603154034,6823987625,6823987639,,,,
517,728207340,,,footway,FALSE,TRUE,4.195,4.201581323,6823987625,178610765,,,,
518,336658614,,,footway,FALSE,FALSE,8.943,8.932720801,6823987625,6828652794,"LINESTRING (-72.9634644 41.2896088, -72.963452 41.2895972, -72.9634311 41.2895734, -72.9634054 41.2895418)",,,
519,336658614,,,footway,FALSE,TRUE,16.554,16.17549902,6823987625,6828652816,"LINESTRING (-72.9634644 41.2896088, -72.963487 41.28961, -72.963502 41.2896095, -72.9635206 41.2896076, -72.9635353 41.2896049, -72.9635507 41.2896015, -72.9636462 41.2895597)",,,
520,336658627,,,footway,FALSE,FALSE,36.748,36.80033787,6823987638,5787279995,,,,
521,336658627,,,footway,FALSE,TRUE,16.521,16.54488281,6823987638,3437140583,,,,
522,"[728207338, 728207339]",,,footway,FALSE,"[False, True]",15.386,15.35732175,6823987638,6823987639,"LINESTRING (-72.9635891 41.2897722, -72.9635163 41.2896896, -72.9634933 41.2896543)",,,
523,259398025,,,service,FALSE,FALSE,3.846,3.851793099,6823987639,1870569532,,,,
524,728207339,,,footway,FALSE,FALSE,5.606,5.603154034,6823987639,6823987625,,,,
525,259398025,,,service,FALSE,TRUE,16.425,16.45252779,6823987639,6828652831,"LINESTRING (-72.9634933 41.2896543, -72.96364 41.2895946, -72.9636659 41.2895836)",,,
526,"[728207338, 728207339]",,,footway,FALSE,"[False, True]",15.386,15.35732175,6823987639,6823987638,"LINESTRING (-72.9634933 41.2896543, -72.9635163 41.2896896, -72.9635891 41.2897722)",,,
527,1181443089,,,service,FALSE,FALSE,16.179,16.19542013,6824044613,10971723726,,parking_aisle,,
528,1181443089,,,service,FALSE,TRUE,65.929,66.02881586,6824044613,6824044616,,parking_aisle,,
529,1181443090,,,service,FALSE,FALSE,22.266,22.26241548,6824044613,10971723727,,parking_aisle,,
530,932573701,,,service,FALSE,FALSE,5.441,5.440078094,6824044616,6828650365,,parking_aisle,,
531,1181443089,,,service,FALSE,FALSE,65.929,66.02881586,6824044616,6824044613,,parking_aisle,,
532,932573702,,,service,FALSE,TRUE,15.581,15.60499304,6824044616,6828650373,"LINESTRING (-72.9639091 41.2887694, -72.9639471 41.2887514, -72.9640668 41.2886946)",parking_aisle,,
533,"[1181443089, 728212669]",,,service,FALSE,TRUE,88.903,69.6467469,6824044616,10971723727,"LINESTRING (-72.9639091 41.2887694, -72.963761 41.2885933, -72.9631001 41.2889141)",parking_aisle,,
534,932573701,,,service,FALSE,TRUE,24.543,24.53877517,6824044617,6828650365,,parking_aisle,,
535,1181443775,,,footway,FALSE,TRUE,3.618,3.624925519,6828650357,10971723725,,,,
536,336658614,,,footway,FALSE,TRUE,31.2,31.19183702,6828650357,6828652794,"LINESTRING (-72.9632153 41.2893003, -72.9632469 41.2893398, -72.9634054 41.2895418)",,,
537,"[728857844, 728857845, 728857846, 728857847]",,,footway,FALSE,FALSE,88.471,81.70723132,6828650357,6828650365,"LINESTRING (-72.9632153 41.2893003, -72.9632265 41.2892642, -72.963242 41.2892301, -72.963255 41.2892121, -72.9632689 41.2892011, -72.9632778 41.2891945, -72.9632936 41.2891855, -72.9635029 41.2890846, -72.9635298 41.2890716, -72.9636771 41.2890006, -72.9636418 41.2889589, -72.963678 41.2889414, -72.9638371 41.2888635, -72.9639033 41.2888309, -72.9639436 41.2888109)",,,
538,932573701,,,service,FALSE,FALSE,24.543,24.53877517,6828650365,6824044617,,parking_aisle,,
539,932573701,,,service,FALSE,TRUE,5.441,5.440078094,6828650365,6824044616,,parking_aisle,,
540,"[728857848, 728857847]",,,footway,FALSE,FALSE,15.838,15.86049429,6828650365,6828650367,"LINESTRING (-72.9639436 41.2888109, -72.9639817 41.288792, -72.9641044 41.2887355)",,,
541,"[728857844, 728857845, 728857846, 728857847]",,,footway,FALSE,TRUE,88.471,81.70723132,6828650365,6828650357,"LINESTRING (-72.9639436 41.2888109, -72.9639033 41.2888309, -72.9638371 41.2888635, -72.963678 41.2889414, -72.9636418 41.2889589, -72.9636771 41.2890006, -72.9635298 41.2890716, -72.9635029 41.2890846, -72.9632936 41.2891855, -72.9632778 41.2891945, -72.9632689 41.2892011, -72.963255 41.2892121, -72.963242 41.2892301, -72.9632265 41.2892642, -72.9632153 41.2893003)",,,
542,1181443087,,,footway,FALSE,TRUE,5.527,5.527478065,6828650367,6828650373,,,,
543,"[728857848, 728857847]",,,footway,FALSE,TRUE,15.838,15.86049429,6828650367,6828650365,"LINESTRING (-72.9641044 41.2887355, -72.9639817 41.288792, -72.9639436 41.2888109)",,,
544,1020416826,,,footway,FALSE,FALSE,111.883,111.8582054,6828650367,6828650370,"LINESTRING (-72.9641044 41.2887355, -72.9641355 41.2887647, -72.9648426 41.2895748)",,,
545,336658614,,,footway,FALSE,FALSE,81.532,60.53195057,6828650368,3437140574,"LINESTRING (-72.9647994 41.2896126, -72.964387 41.2897748, -72.9641082 41.2894536)",,,
546,336658614,,,footway,FALSE,TRUE,5.762,5.542427303,6828650368,6828650370,"LINESTRING (-72.9647994 41.2896126, -72.9648161 41.289606, -72.9648277 41.2895982, -72.9648426 41.2895748)",,,
547,728857856,,,footway,FALSE,TRUE,83.185,67.25219264,6828650368,6828652796,"LINESTRING (-72.9647994 41.2896126, -72.9647602 41.2895682, -72.9645683 41.2896575, -72.9641964 41.2892128)",,,
548,336658614,,,footway,FALSE,FALSE,5.762,5.542427303,6828650370,6828650368,"LINESTRING (-72.9648426 41.2895748, -72.9648277 41.2895982, -72.9648161 41.289606, -72.9647994 41.2896126)",,,
549,"[336658614, 168521519]",,Isadore Street,"['footway', 'residential']",FALSE,"[False, True]",120.305,117.3900012,6828650370,178552492,"LINESTRING (-72.9648426 41.2895748, -72.9648752 41.2895277, -72.9646479 41.2892639, -72.9641281 41.2886655)",,,
550,1020416826,,,footway,FALSE,TRUE,111.883,111.8582054,6828650370,6828650367,"LINESTRING (-72.9648426 41.2895748, -72.9641355 41.2887647, -72.9641044 41.2887355)",,,
551,932573702,,,service,FALSE,TRUE,6.058,6.067299429,6828650373,178552492,,parking_aisle,,
552,1181443087,,,footway,FALSE,FALSE,5.527,5.527478065,6828650373,6828650367,,,,
553,932573702,,,service,FALSE,FALSE,15.581,15.60499304,6828650373,6824044616,"LINESTRING (-72.9640668 41.2886946, -72.9639471 41.2887514, -72.9639091 41.2887694)",parking_aisle,,
554,1181443087,,,footway,FALSE,TRUE,198.427,166.6990176,6828650373,3437140567,"LINESTRING (-72.9640668 41.2886946, -72.9640086 41.2886403, -72.9638177 41.2884202, -72.9621999 41.2892144)",,,
555,728857855,,,footway,FALSE,FALSE,16.285,16.31339751,6828652794,6828652817,,,,
556,728857860,,,footway,FALSE,TRUE,4.07,4.080306092,6828652794,6828652805,,,,
557,336658614,,,footway,FALSE,FALSE,31.2,31.19183702,6828652794,6828650357,"LINESTRING (-72.9634054 41.2895418, -72.9632469 41.2893398, -72.9632153 41.2893003)",,,
558,336658614,,,footway,FALSE,TRUE,8.943,8.932720801,6828652794,6823987625,"LINESTRING (-72.9634054 41.2895418, -72.9634311 41.2895734, -72.963452 41.2895972, -72.9634644 41.2896088)",,,
559,728857855,,,footway,FALSE,TRUE,2.702,2.706785769,6828652795,6828652796,,,,
560,728857855,,,footway,FALSE,FALSE,2.702,2.706785769,6828652796,6828652795,,,,
561,728857855,,,footway,FALSE,TRUE,20.605,20.63891356,6828652796,6828652799,,,,
562,728857856,,,footway,FALSE,FALSE,83.185,67.25219264,6828652796,6828650368,"LINESTRING (-72.9641964 41.2892128, -72.9645683 41.2896575, -72.9647602 41.2895682, -72.9647994 41.2896126)",,,
563,728857855,,,footway,FALSE,FALSE,20.605,20.63891356,6828652799,6828652796,,,,
564,728857857,,,footway,FALSE,TRUE,19.746,19.74308131,6828652799,3437140574,,,,
565,728857855,,,footway,FALSE,TRUE,38.651,38.71496208,6828652799,6828652817,"LINESTRING (-72.9639815 41.2893037, -72.963716 41.2894158, -72.9635769 41.2894722)",,,
566,728857859,,,footway,FALSE,FALSE,6.408,6.417248774,6828652800,6828652801,,,,
567,728857859,,,footway,FALSE,TRUE,6.408,6.417248774,6828652801,6828652800,,,,
568,1181443088,,,footway,FALSE,FALSE,13.975,13.97193258,6828652801,6828652803,"LINESTRING (-72.9632221 41.2894454, -72.9632911 41.2895332, -72.9633072 41.2895536)",,,
569,1181443088,,,footway,FALSE,TRUE,14.786,14.78272741,6828652801,10971672104,"LINESTRING (-72.9632221 41.2894454, -72.9632137 41.2894348, -72.963131 41.2893314)",,,
570,336658637,,,footway,FALSE,TRUE,18.226,18.25166986,6828652803,10971672103,,,,
571,728857860,,,footway,FALSE,FALSE,4.239,4.249245696,6828652803,6828652805,,,,
572,"[1181443088, 728207340]",,,footway,FALSE,FALSE,15.769,12.51820141,6828652803,178610765,"LINESTRING (-72.9633072 41.2895536, -72.963379 41.2896448, -72.9634205 41.2896271)",,,
573,1181443088,,,footway,FALSE,TRUE,13.975,13.97193258,6828652803,6828652801,"LINESTRING (-72.9633072 41.2895536, -72.9632911 41.2895332, -72.9632221 41.2894454)",,,
574,176558911,,Ruden Place,residential,FALSE,TRUE,10.297,10.29474546,6828652805,178610765,,,2,20 mph
575,728857860,,,footway,FALSE,FALSE,4.07,4.080306092,6828652805,6828652794,,,,
576,728857860,,,footway,FALSE,TRUE,4.239,4.249245696,6828652805,6828652803,,,,
577,176558911,,Ruden Place,residential,FALSE,FALSE,29.997,29.98723178,6828652805,10971723725,"LINESTRING (-72.9633573 41.2895476, -72.9632521 41.2894151, -72.9631764 41.2893146)",,2,20 mph
578,1181443083,,,footway,FALSE,TRUE,21.457,15.41901712,6828652808,6828652810,"LINESTRING (-72.9624369 41.2897113, -72.962476 41.2896949, -72.9625426 41.2896618, -72.9626156 41.2897446)",,,
579,336658654,,,footway,FALSE,FALSE,23.071,23.04793099,6828652810,3437140601,,,,
580,336658654,,,footway,FALSE,TRUE,4.899,4.905772319,6828652810,3437140585,,,,
581,1181443083,,,footway,FALSE,TRUE,17.931,17.93024273,6828652810,3437140597,,,,
582,1181443083,,,footway,FALSE,FALSE,21.457,15.41901712,6828652810,6828652808,"LINESTRING (-72.9626156 41.2897446, -72.9625426 41.2896618, -72.962476 41.2896949, -72.9624369 41.2897113)",,,
583,728857861,,,footway,FALSE,FALSE,11.322,11.31952428,6828652816,6828652817,,,,
